#Answer.URL,WEBSITE,Input.Input-URL,Answer.ADDRESS1,Answer.CITY,ANSWER.STATE_NAME,COUNTRY,Answer.ZIP,Answer.MAP_URL,Answer.PHONE,CHAIN,TYPE,OPEN_DATE,Answer.PHOTO_URL,RATING,LAST_VERIFIED,LAT,LNG,HOTELID
St. Vincent\'s Guest House,saintvincentnola.com,https://saintvincentnola.com/,1507 Magazine Street,New Orleans,LA,USA,70130,http://stagingstvh.wpengine.com/wp-content/uploads/2021/05/CBE6E00E-2E38-4033-B286-37DA6C1D7C9F_1_105_c.jpeg,504-350-2450,OTHER,BOUTIQUE,2021-06-01,https://saintvincentnola.com/wp-content/uploads/2021/06/MH_STV_0001_FINAL.jpg,0,2021-09-15,29.934145,-90.072891,NULL
Staybridge Suites Nashville - Midtown,www.ihg.com,https://www.ihg.com/staybridge/hotels/us/en/nashville/bnavu/hoteldetail,350 22nd Avenue N,Nashville,TN,USA,37203,https://www.ihg.com/staybridge/hotels/us/en/nashville/bnavu/hoteldetail/directions,615-329-0030,IHG,BUSINESS,2021-07-01,"https://digital.ihg.com/is/image/ihg/staybridge-suites-nashville-6589802050-2x1?hei=512&qlt=85,0&resMode=sharp2&op_usm=1.75,0.9,2,0",0,2021-09-15,36.156143,-86.806274,NULL
STAYBRIDGE SUITES ROCHESTER - ST MARYS AREA,www.ihg.com,https://www.ihg.com/staybridge/hotels/us/en/rochester/rstss/hoteldetail,101 11th Ave SW,Rochester,MN,USA,55902,https://www.ihg.com/staybridge/hotels/us/en/rochester/rstss/hoteldetail/directions,507-322-6317,IHG,BUSINESS,2021-07-01,https://i.travelapi.com/hotels/1000000/10000/4000/3948/3b4d5450_b.jpg,0,2021-09-15,44.022617,-92.478828,141251
The Green O Montana,www.thegreeno.com,https://www.thegreeno.com/,4069 Backcountry Road,Greenough,MT,USA,59823,https://www.thegreeno.com/location/,877-251-2841,OTHER,BOUTIQUE,2021-08-01,https://www.thegreeno.com/wp-content/uploads/2021/06/210731-GO-Social-Tree-Haus-15_60-scaled-e1630103831644.jpg,0,2021-09-15,46.906971,-113.432434,NULL
The Hamilton Alpharetta,www.hilton.com,https://www.hilton.com/en/hotels/atlctqq-the-hamilton-alpharetta/,35 Milton Avenue,Alpharetta,GA,USA,30009,"https://www.google.com/maps?q=35+Milton+Avenue,+Alpharetta,+Georgia,+30009,+USA",770-777-1820,HILTON,BOUTIQUE,2021-07-01,https://www.hilton.com/im/en/ATLCTQQ/15462118/the-hamilton-hotel-exterior-front.jpg?impolicy=crop&cw=3754&ch=2102&gravity=NorthWest&xposition=622&yposition=0&rw=768&rh=430,0,2021-09-15,34.076035,-84.295639,NULL
THE KIMPTON HARPER HOTEL,www.theharperfortworth.com,https://www.theharperfortworth.com/,714 Main Street,Fort Worth,TX,USA,76102,https://www.theharperfortworth.com/fort-worth/maps-and-directions/,817-332-7200,OTHER,BOUTIQUE,2021-06-01,https://www.theharperfortworth.com/images/1700-960/exterior-04-fe6a3fdf.jpg,0,2021-09-15,32.752838,-97.330299,NULL
The Oasis at Death Valley,www.oasisatdeathvalley.com,https://www.oasisatdeathvalley.com/,Highway 190,Furnace Creek,CA,USA,92328,https://www.oasisatdeathvalley.com/plan/location/,760-786-2345,OTHER,RESORT,2021-03-01,https://i.travelapi.com/hotels/1000000/900000/893200/893189/73f17b81_b.jpg,0,2021-09-15,36.471336,-116.867142,492818
The Ray Hotel Delray Beach,www.hilton.com,https://www.hilton.com/en/hotels/pbitrqq-the-ray-hotel-delray-beach/,233 NE 2nd Ave,Delray Beach,FL,USA,33444,"https://www.google.com/maps/place/233+NE+2nd+Ave,+Delray+Beach,+FL+33444,+USA/@26.4659288,-80.0731807,17z/data=!3m1!4b1!4m5!3m4!1s0x88d8dfc391d18acf:0x170dda6a61632e0!8m2!3d26.4659288!4d-80.070992",561-739-1700,HILTON,BOUTIQUE,2021-09-01,https://www.hilton.com/im/en/PBITRQQ/15909181/pbitr-the-ray-exterior.jpg?impolicy=crop&cw=4217&ch=3123&gravity=NorthWest&xposition=391&yposition=0&rw=424&rh=314,0,2021-09-15,26.465929,-80.070992,NULL
The Westin Anaheim Resort,www.marriott.com,https://www.marriott.com/hotels/travel/snawa-the-westin-anaheim-resort/,1030 West Katella Avenue,Anaheim,CA,USA,92802,https://www.marriott.com/hotels/maps/travel/snawa-the-westin-anaheim-resort/,657-279-9786,MARRIOTT,RESORT,2021-07-01,https://i.travelapi.com/hotels/1000000/80000/79600/79564/9d3c39e1_b.jpg,0,2021-09-15,33.802547,-117.923119,138258
The Westley Hotel,thewestleyhotel.com,https://thewestleyhotel.com/,630 4th Avenue SW,Calgary,AB,CANADA,T2P0J9,"https://www.google.com/maps?ll=51.05078,-114.07507&z=17&t=m&hl=en-US&gl=US&mapclient=embed&cid=8043009141106798948",403-764-6262,OTHER,BOUTIQUE,2021-07-01,https://smartcdn.prod.postmedia.digital/calgaryherald/wp-content/uploads/2021/07/0702-westley-hotel-3.jpg,0,2021-09-15,51.049847,-114.074928,NULL
The Wilde Resort and Spa,www.thewilderesort.com,https://www.thewilderesort.com/,2250 West State Route 89A,Sedona,AZ,USA,86336,"https://www.google.com/maps/place/2250+W+State+Rte+89A,+Sedona,+AZ+86336,+USA/@34.8627939,-111.8007386",928-264-7246,OTHER,RESORT,2021-09-30,https://i.travelapi.com/hotels/2000000/1200000/1195500/1195453/823832a1_b.jpg,0,2021-09-15,34.864113,-111.799118,228750
Thompson Hollywood,www.hyatt.com,https://www.hyatt.com/en-US/hotel/california/thompson-hollywood/laxth,1541 Wilcox Avenue,Los Angeles,CA,USA,90028,https://www.hyatt.com/en-US/hotel/california/thompson-hollywood/laxth/maps-parking-transportation,323-465-1234,OTHER,BOUTIQUE,2021-08-15,https://exp.cdn-hotels.com/hotels/61000000/60270000/60261000/60260926/5154ffc7_z.jpg,0,2021-09-15,34.098904,-118.331429,NULL
Thompson Savannah,www.hyatt.com,https://www.hyatt.com/en-US/hotel/georgia/thompson-savannah/savth,"201 Port Street, Savannah",Savannah,GA,USA,31401,https://www.hyatt.com/en-US/hotel/georgia/thompson-savannah/savth/maps-parking-transportation,912-790-1234,OTHER,BOUTIQUE,2021-08-15,https://i.travelapi.com/hotels/1000000/30000/20400/20324/e5be0a8f_b.jpg,0,2021-09-15,32.077251,-81.079117,109510
TownePlace Suites Chicago Waukegan/Gurnee,www.marriott.com,https://www.marriott.com/hotels/travel/chitg-towneplace-suites-chicago-waukegan-gurnee/,404 Lakehurst Road,Waukegan,IL,USA,60085,https://www.marriott.com/hotels/maps/travel/chitg-towneplace-suites-chicago-waukegan-gurnee/,224-944-0633,MARRIOTT,CHAIN,2021-08-15,https://cache.marriott.com/marriottassets/marriott/TP/tps-exterior-0010-hor-clsc.jpg,0,2021-09-15,42.344864,-87.9049,NULL
Tru by Hilton Atlanta Galleria Ballpark,www.hilton.com,https://www.hilton.com/en/hotels/atlgbru-tru-atlanta-galleria-ballpark/,4511 Circle 75 Parkway,Atlanta,GA,USA,30339,"https://www.google.com/maps?q=4511+Circle+75+Parkway,+Atlanta,+Georgia,+30339,+USA&adobe_mc=09512626910975568492125390253306641064",678-540-9950,OTHER,CHAIN,2021-06-01,https://exp.cdn-hotels.com/hotels/65000000/64630000/64626000/64625934/85990ef2_y.jpg?impolicy=fcrop&w=1000&h=666&q=medium,0,2021-09-15,33.898701,-84.473976,NULL
W PHILADELPHIA,www.marriott.com,https://www.marriott.com/hotels/travel/phlwh-w-philadelphia/,1439 Chestnut Street,Philadelphia,PA,USA,19102,https://www.marriott.com/hotels/maps/travel/phlwh-w-philadelphia/,215-709-8000,MARRIOTT,BOUTIQUE,2021-08-15,https://cache.marriott.com/marriottassets/marriott/PHLWH/phlwh-exterior-4607-hor-clsc.jpg?interpolation=progressive-bilinear&downsize=*:256px,0,2021-09-15,39.951519,-75.165062,NULL
Walt Disney World Swan Reserve,www.marriott.com,https://www.marriott.com/hotels/travel/mcokc-walt-disney-world-swan-reserve/,1200 Epcot Resort Blvd,Lake Buena Vista,FL,USA,32830,"https://maps.google.com/?q=Walt+Disney+World+Swan&sll=28.36401,-81.55945",,MARRIOTT,RESORT,2021-09-30,https://i.travelapi.com/hotels/1000000/10000/9800/9711/56eb0852_b.jpg,0,2021-09-09,28.36401,-81.559448,163897
The Citizen Hotel,downtowntucson.org,https://downtowntucson.org/go/the-citizen-hotel,82 S. Stone Ave,Tucson,AZ,USA,85701,https://www.thecitizenhoteltucson.com/,,OTHER,BOUTIQUE,2021-11-01,HTTP://downtowntucson.org/,0,2021-11-01,32.220547,-110.971291,NULL
"Front & Wall Street, Operated by WhyHotel",whyhotel.com,https://whyhotel.com/locations/front-and-wall-st/,110 Wall St,New York,NY,USA,10005,https://goo.gl/maps/RQay2Zp6fJNLV5MU7,,OTHER,BUSINESS,2021-10-01,https://i.travelapi.com/hotels/37000000/36180000/36179200/36179174/02f3eb9b_b.jpg,0,2021-11-01,40.70472,-74.006958,2028140
Alsace LA,www.alsacehotella.com,https://www.alsacehotella.com/,5170 W Adams Blvd,Los Angeles,CA,USA,90016,"https://www.google.com/maps/place/Alsace+Hotel+Los+Angeles/@34.0322557,-118.3550004,15z/data=!4m8!3m7!1s0x0:0xc8d319d6bd644059!5m2!4m1!1i2!8m2!3d34.0323758!4d-118.3550553",,OTHER,BOUTIQUE,2021-10-01,https://www.nevistas.com/ul/4/2021/09/21/10.jpg,0,2021-11-01,34.032257,-118.355003,NULL
Cambria Hotel Calabasas-Malibu,www.choicehotels.com,https://www.choicehotels.com/california/calabasas/cambria-hotels/caf60,26400 Rondell St,Calabasas,CA,USA,91302,https://www.choicehotels.com/california/calabasas/cambria-hotels/caf60#hotel-map,,CHOICE,BOUTIQUE,2021-12-15,https://www.choicehotels.com/hotelmedia/US/CA/calabasas/CAF60/2048/CAF60ExteriorTemp1_1.webp,0,2021-11-01,34.14608,-118.697533,NULL
Cambria Hotel Louisville Downtown-Whiskey Row,www.choicehotels.com,https://www.choicehotels.com/kentucky/louisville/cambria-hotels/ky322,120 S Floyd St,Louisville,KY,USA,40202,https://www.choicehotels.com/kentucky/louisville/cambria-hotels/ky322,,CHOICE,CHAIN,2021-12-01,https://i.travelapi.com/hotels/1000000/20000/11900/11900/c097dfd7_b.jpg,0,2021-11-01,38.254681,-85.748322,107400
Cambria Hotel Nashville Airport,www.choicehotels.com,https://www.choicehotels.com/tennessee/nashville/cambria-hotels/tn844,44 Rachel Dr,Nashville,TN,USA,37214,https://www.choicehotels.com/tennessee/nashville/cambria-hotels/tn844,,CHOICE,CHAIN,2021-12-01,https://www.choicehotels.com/hotelmedia/US/TN/nashville/TN844/2048/TN844ExteriorTemp1_1.webp,0,2021-11-01,36.14473,-86.676178,NULL
citizenM San Francisco Union Square,www.citizenm.com,https://www.citizenm.com/hotels/united-states/san-francisco/san-francisco-union-square,72 Ellis St,San Francisco,CA,USA,94102,"https://www.google.com/maps/place/citizenM+San+Francisco+Union+Square+Hotel/@37.785799,-122.407442,15z/data=!4m2!3m1!1s0x0:0xbb8026c4715c871d?sa=X&ved=2ahUKEwjN_aeAsLb0AhW7RzABHe6dDOoQ_BJ6BAhNEAU",,OTHER,BOUTIQUE,2021-11-01,https://assets.citizenm.com/images/Seattle_South_Lake_Union-CitM_SSL-1504-1920x1080-2_90059d3a74b02946128c33f-1.jpg,0,2021-11-01,37.785797,-122.40744,NULL
Civilian NYC,www.civilianhotel.com,https://www.civilianhotel.com/,305 W 48th St,New York,NY,USA,10036,https://www.civilianhotel.com/,,OTHER,BOUTIQUE,2021-11-01,https://i.travelapi.com/hotels/12000000/11680000/11677800/11677770/5e036412_b.jpg,0,2021-11-01,40.761429,-73.98745,536247
Cormorant Boutique Hotel,www.cormorantlajolla.com,https://www.cormorantlajolla.com/,1110 Prospect St,La Jolla,CA,USA,92037,"https://www.google.com/maps/place/Cormorant+Boutique+Hotel/@32.8482469,-117.2740183,15z/data=!4m2!3m1!1s0x0:0x12f3b0618e6df8b9?sa=X&ved=2ahUKEwiS7YWX0bb0AhX9TjABHVJSBFsQ_BJ6BAhREAU",,OTHER,BOUTIQUE,2021-12-15,HTTP://www.cormorantlajolla.com/,0,2021-11-01,32.848248,-117.274017,NULL
el PRADO Hotel,www.elpradopaloalto.com,https://www.elpradopaloalto.com/,520 Cowper St,Palo Alto,CA,USA,94301,https://www.elpradopaloalto.com/,,OTHER,BOUTIQUE,2021-10-01,https://i.travelapi.com/hotels/1000000/60000/51000/50965/630c9385_b.jpg,0,2021-11-01,37.447662,-122.159081,161581
"Epicurean Atlanta, an Autograph Collection",www.epicureanhotelatlanta.com,https://www.epicureanhotelatlanta.com/,1117 W Peachtree St NW,Atlanta,GA,USA,30309,https://www.epicureanhotelatlanta.com/location/,,MARRIOTT,BOUTIQUE,2021-11-01,https://www.epicureanhotelatlanta.com/content/uploads/2021/03/weddings-celebrations-8-858x572.jpg,0,2021-11-01,33.785191,-84.387459,NULL
Four Seasons Resort and Residences Napa Valley,www.fourseasons.com,https://www.fourseasons.com/napavalley/,"400 Silverado Trail N,",Calistoga,CA,USA,94515,"https://www.google.com/maps/place/Four+Seasons+Resort+and+Residences+Napa+Valley/@38.5848281,-122.5680445,15z",(707) 709-2100,OTHER,RESORT,2021-11-02,https://i.travelapi.com/hotels/35000000/34760000/34754600/34754589/62ee4755_b.jpg,0,2021-11-01,38.584408,-122.566925,1961767
Hillsboro Beach Resort,www.hillsborobeachresort.com,https://www.hillsborobeachresort.com/,1159 Hillsboro Mile,Hillsboro Beach,FL,USA,33062,https://www.hillsborobeachresort.com/,,OTHER,RESORT,2021-11-01,https://www.hillsborobeachresort.com/resourcefiles/gallery-photos-box/hillsboro-beach-resort-front-gate-view.jpg,0,2021-11-01,26.294249,-80.078239,NULL
Home2 Suites by Hilton Anderson Downtown,www.hilton.com,https://www.hilton.com/en/hotels/andrnht-home2-suites-anderson-downtown/,315 S Main St,Anderson,SC,USA,29624,"https://www.google.com/maps/place/Home2+Suites+by+Hilton+Anderson+Downtown/@34.5016144,-82.6496136,15z",,HILTON,CHAIN,2021-10-25,https://www.hilton.com/im/en/MultiHotel/9575950/h2-olvclht-businesswomanstudiosuite1-propped-brand-shoot.jpg?impolicy=crop&cw=7680&ch=4300&gravity=NorthWest&xposition=288&yposition=602&rw=768&rh=430,0,2021-11-01,34.501793,-82.649155,NULL
DoubleTree by Hilton Palmdale,www.hilton.com,https://www.hilton.com/en/hotels/burpadt-doubletree-palmdale/,300 W Palmdale Blvd,Palmdale,CA,USA,93551,"https://www.google.com/maps/place/DoubleTree+by+Hilton+Palmdale/@34.5810767,-118.1357662,15z",,HILTON,CHAIN,2021-11-01,https://www.hilton.com/im/en/BURPADT/14928638/stair-sideedit2.jpg?impolicy=crop&cw=4976&ch=2786&gravity=NorthWest&xposition=0&yposition=106&rw=768&rh=430,0,2021-11-01,34.581078,-118.135765,NULL
Canopy by Hilton Chicago Central Loop,www.hilton.com,https://www.hilton.com/en/hotels/chijbpy-canopy-chicago-central-loop/,226 W Jackson Blvd,Chicago,IL,USA,60606,https://www.hilton.com/en/hotels/chijbpy-canopy-chicago-central-loop/hotel-location/,,HILTON,BOUTIQUE,2021-10-15,https://www.hilton.com/im/en/CHIJBPY/15755021/canopy-king-room-.jpg?impolicy=crop&cw=3300&ch=2443&gravity=NorthWest&xposition=0&yposition=460&rw=424&rh=314,0,2021-11-01,41.878433,-87.634949,NULL
DoubleTree by Hilton Silver Spring DC North,www.hilton.com,https://www.hilton.com/en/hotels/dcagsdt-doubletree-silver-spring-dc-north/,8777 Georgia Ave,Silver Spring,MD,USA,20910,"https://www.google.com/maps/place/8777+Georgia+Ave,+Silver+Spring,+MD+20910/@38.9987151,-77.0325927,17z",,HILTON,BUSINESS,2021-10-01,https://i.travelapi.com/hotels/1000000/30000/21200/21104/bd8c0afb_b.jpg,0,2021-11-01,38.998714,-77.030403,107300
Home2 Suites by Hilton Fort Myers Airport,www.hilton.com,https://www.hilton.com/en/hotels/fmyhtht-home2-suites-fort-myers-airport/,10400 Airkraft Court,Fort Myers,FL,USA,33913,https://www.hilton.com/en/hotels/fmyhtht-home2-suites-fort-myers-airport/hotel-location/,,HILTON,CHAIN,2021-09-01,https://www.hilton.com/im/en/FMYHTHT/15871866/baywood-fl-fortmyers-hm2-ext-day.jpg?impolicy=crop&cw=5000&ch=2799&gravity=NorthWest&xposition=0&yposition=265&rw=768&rh=430,0,2021-11-01,26.510225,-81.784637,NULL
"Martinique New York on Broadway, Curio Collection by Hilton",www.hilton.com,https://www.hilton.com/en/hotels/nyccuqq-martinique-new-york-on-broadway/,49 W 32nd St,New York,NY,USA,10001,https://www.hilton.com/en/hotels/nyccuqq-martinique-new-york-on-broadway/hotel-location/,,HILTON,RENOVATED,2021-12-01,https://i.travelapi.com/hotels/1000000/160000/151300/151298/450bfd01_b.jpg,0,2021-11-01,40.748264,-73.987854,149429
Motto by Hilton New York City Chelsea,www.hilton.com,https://www.hilton.com/en/hotels/nycdlua-motto-new-york-city-chelsea/,113 W 24th St,New York,NY,USA,10001,https://www.hilton.com/en/hotels/nycdlua-motto-new-york-city-chelsea/hotel-location/,,HILTON,BOUTIQUE,2022-02-03,https://www.hilton.com/im/en/NYCDLUA/15047580/nycdl-kingroom.jpg?impolicy=crop&cw=4050&ch=3000&gravity=NorthWest&xposition=9&yposition=0&rw=424&rh=314,0,2021-11-01,40.74411,-73.992996,NULL
Home2 Suites by Hilton Phoenix Avondale,www.hilton.com,https://www.hilton.com/en/hotels/phxalht-home2-suites-phoenix-avondale/,10275 W McDowell Rd,Avondale,AZ,USA,85392,"https://www.google.com/maps/place/Home2+Suites+by+Hilton+Phoenix+Avondale/@33.4628789,-112.2805273,15z",,HILTON,CHAIN,2021-11-01,https://www.hilton.com/im/en/PHXALHT/15655544/se-perspective-nighttime.tif?impolicy=crop&cw=5000&ch=2799&gravity=NorthWest&xposition=0&yposition=266&rw=768&rh=430,0,2021-11-01,33.464149,-112.28093,NULL
Hotel Elkhart,www.hotelelkhart.com,https://www.hotelelkhart.com/,500 S. Main St,Elkhart,IN,USA,46516,"https://www.google.com/maps/place/500+S+Main+St,+Elkhart,+IN+46516/@41.6833415,-85.9731517,17z",,OTHER,BOUTIQUE,2021-10-01,https://www.nevistas.com/ul/4/2021/09/28/25.jpg,0,2021-11-01,41.683342,-85.970963,NULL
Hotel Indy??‚????‚?Ì,www.hotelindy.com,https://www.hotelindy.com/,141 East Washington Street,Indianapolis,IN,USA,46204,https://www.hotelindy.com/tracking/click-location-map.aspx,,MARRIOTT,BOUTIQUE,2021-11-01,https://www.hotelindy.com/resourcefiles/gallery-images/11.jpg,0,2021-11-01,39.766674,-86.154747,NULL
Hyatt Centric Downtown Sacramento,www.hyatt.com,https://www.hyatt.com/en-US/hotel/california/hyatt-centric-downtown-sacramento/smfct,"1122 7th St,",Sacramento,CA,USA,95814,"https://www.google.com/maps/place/Lakeside,+FL/@30.1914177,-81.6291929,12z",,HYATT,BOUTIQUE,2021-11-01,https://assets.hyatt.com/content/dam/hyatt/hyattdam/images/2021/07/07/1153/SMFCT-R001-Guestroom.jpg/SMFCT-R001-Guestroom.16x9.jpg?imwidth=1280,0,2021-11-01,38.57954,-121.498421,NULL
Hyatt House LAX / Century Blvd,www.hyatt.com,https://www.hyatt.com/en-US/hotel/california/hyatt-house-lax-century-blvd/laxxl,5959 W Century Blvd,Los Angeles,CA,USA,90045,https://www.google.com/maps/search/?api=1&query=5959+W+Century+Blvd%2C+Los+Angeles%2C+California%2C+United+States%2C+90045,,HYATT,CHAIN,2021-11-01,https://assets.hyatt.com/content/dam/hyatt/hyattdam/images/2015/05/18/1200/Hyatt-House-Salt-Lake-City-Downtown-P021-Exterior.jpg/Hyatt-House-Salt-Lake-City-Downtown-P021-Exterior.16x9.jpg?imwidth=1280,0,2021-11-01,33.946342,-118.388062,NULL
Hyatt Place LAX / Century Blvd,www.hyatt.com,https://www.hyatt.com/en-US/hotel/california/hyatt-place-lax-century-blvd/laxzl,5959 W Century Blvd,Los Angeles,CA,USA,90045,https://www.google.com/maps/search/?api=1&query=5959+W+Century+Blvd%2C+Los+Angeles%2C+California%2C+United+States%2C+90045,,HYATT,CHAIN,2021-11-01,https://assets.hyatt.com/content/dam/hyatt/hyattdam/images/2021/11/03/0938/LAXZL-P0004-King-With-Sofabed.jpg/LAXZL-P0004-King-With-Sofabed.16x9.jpg?imwidth=1280,0,2021-11-01,33.946342,-118.388062,NULL
"The Shay, a Destination by Hyatt",www.hyatt.com,https://www.hyatt.com/en-US/hotel/california/the-shay/laxdi,8801 Washington Blvd,Culver City,CA,USA,90232,"https://www.google.com/maps/place/The+Shay+-+Destination+by+Hyatt/@34.0280684,-118.3872991,15z",,HYATT,BOUTIQUE,2021-10-06,https://www.nevistas.com/ul/4/2021/10/06/24.jpg,0,2021-11-01,34.028069,-118.387299,NULL
tommie Hollywood,www.hyatt.com,https://www.hyatt.com/en-US/hotel/california/tommie-hollywood/laxte,6516 Selma Ave,Los Angeles,CA,USA,90028,https://www.hyatt.com/en-US/hotel/california/tommie-hollywood/laxte/maps-parking-transportation,,HYATT,BOUTIQUE,2021-12-01,https://assets.hyatt.com/content/dam/hyatt/hyattdam/images/2021/07/26/1751/LAXTE-R001-Exterior.jpg/LAXTE-R001-Exterior.16x9.jpg?imwidth=1920,0,2021-11-01,34.099682,-118.331596,NULL
Hyatt Centric Downtown Denver,www.hyatt.com,https://www.hyatt.com/en-US/hotel/colorado/hyatt-centric-downtown-denver/denct,1776 Champa St,Denver,CO,USA,80202,https://www.google.com/maps/search/?api=1&query=1776+Champa+Street%2C+Denver%2C+Colorado%2C+United+States%2C+80202,,HYATT,CHAIN,2021-10-01,https://assets.hyatt.com/content/dam/hyatt/hyattdam/images/2021/11/05/1329/DENCT-P0009-Exterior.jpg/DENCT-P0009-Exterior.16x9.jpg?imwidth=1280,0,2021-11-01,39.74802,-104.991745,NULL
Hyatt Centric Buckhead Atlanta,www.hyatt.com,https://www.hyatt.com/en-US/hotel/georgia/hyatt-centric-buckhead-atlanta/atlct,"3301 Lenox Square Parkway, NE",Atlanta,GA,USA,30326,https://www.hyatt.com/en-US/hotel/georgia/hyatt-centric-buckhead-atlanta/atlct/maps-parking-transportation,,HYATT,CHAIN,2021-12-01,https://assets.hyatt.com/content/dam/hyatt/hyattdam/images/2021/08/13/0634/ATLCT-R004-Exterior-Red-Light.jpg/ATLCT-R004-Exterior-Red-Light.16x9.jpg?imwidth=1280,0,2021-11-01,33.845425,-84.358498,NULL
Thompson Buckhead,www.hyatt.com,https://www.hyatt.com/en-US/hotel/georgia/thompson-buckhead/atlth,415 East Paces Ferry Rd NE,Atlanta,GA,USA,30305,https://www.google.com/maps/search/?api=1&query=415+East+Paces+Ferry+Road%2C+Atlanta%2C+Georgia%2C+United+States%2C+30305,,HYATT,BOUTIQUE,2021-12-15,https://assets.hyatt.com/content/dam/hyatt/hyattdam/images/2021/03/15/0621/ATLTH-R0003-Exterior.jpg/ATLTH-R0003-Exterior.16x9.jpg?imwidth=1280,0,2021-11-01,33.838326,-84.374352,NULL
Hyatt Place New York Chelsea,www.hyatt.com,https://www.hyatt.com/en-US/hotel/new-york/hyatt-place-new-york-chelsea/lgazc,140 W 24th St,New York,NY,USA,10011,https://www.hyatt.com/en-US/hotel/new-york/hyatt-place-new-york-chelsea/lgazc/maps-parking-transportation,,HYATT,CHAIN,2021-12-01,https://assets.hyatt.com/content/dam/hyatt/hyattdam/images/2021/03/10/0710/LGAZC-R001-Bar-Seating.jpg/LGAZC-R001-Bar-Seating.16x9.jpg?imwidth=1920,0,2021-11-01,40.744122,-73.994225,NULL
Thompson Central Park New York,www.hyatt.com,https://www.hyatt.com/en-US/hotel/new-york/thompson-central-park-new-york/lgatp,119 W 56th St,New York,NY,USA,10019,"https://www.google.com/maps/place/Thompson+Central+Park+New+York/@40.7641565,-73.9785205,15z",(212) 245-5000,HYATT,BOUTIQUE,2021-11-02,https://assets.hyatt.com/content/dam/hyatt/hyattdam/images/2021/06/10/1019/LGATP-P0039-Park-View.jpg/LGATP-P0039-Park-View.16x9.jpg?imwidth=1920,0,2021-11-01,40.764214,-73.978455,792811
Hyatt House Allentown / Lehigh Valley,www.hyatt.com,https://www.hyatt.com/en-US/hotel/pennsylvania/hyatt-house-allentown-lehigh-valley/abexa,621 Grange Rd,Allentown,PA,USA,18106,https://www.google.com/maps/search/?api=1&query=621+Grange+Road%2C+Allentown%2C+Pennsylvania%2C+United+States%2C+18106,,HYATT,CHAIN,2021-10-01,https://assets.hyatt.com/content/dam/hyatt/hyattdam/images/2015/05/18/1200/Hyatt-House-Salt-Lake-City-Downtown-P021-Exterior.jpg/Hyatt-House-Salt-Lake-City-Downtown-P021-Exterior.16x9.jpg?imwidth=1280,0,2021-11-01,40.563015,-75.581757,NULL
Hyatt Place Allentown / Lehigh Valley,www.hyatt.com,https://www.hyatt.com/en-US/hotel/pennsylvania/hyatt-place-allentown-lehigh-valley/abeza,621 Grange Rd,Allentown,PA,USA,18106,https://www.google.com/maps/search/?api=1&query=621+Grange+Road%2C+Allentown%2C+Pennsylvania%2C+United+States%2C+18106,,HYATT,CHAIN,2021-10-01,https://assets.hyatt.com/content/dam/hyatt/hyattdam/images/2014/09/21/1539/HP-P025-Next-Gen-Series-3-King-Bed.jpg/HP-P025-Next-Gen-Series-3-King-Bed.16x9.jpg?imwidth=1280,0,2021-11-01,40.563015,-75.581757,NULL
Hyatt Place Harrisonburg,www.hyatt.com,https://www.hyatt.com/en-US/hotel/virginia/hyatt-place-harrisonburg/chozh,1884 Evelyn Byrd Ave,Harrisonburg,VA,USA,22801,https://www.hyatt.com/en-US/hotel/virginia/hyatt-place-harrisonburg/chozh/maps-parking-transportation,,HYATT,CHAIN,2021-12-01,https://www.nevistas.com/ul/4/2021/12/16/14.jpg,0,2021-11-01,38.431664,-78.848526,NULL
avid hotel Macon North,www.ihg.com,https://www.ihg.com/avidhotels/hotels/us/en/macon/mcnrp/hoteldetail,3969 River Pl Dr,Macon,GA,USA,31210,"https://www.google.com/maps/place/avid+hotel+Macon+North,+an+IHG+Hotel/@32.9016344,-83.6831734,15z",(478) 309-2400,IHG,CHAIN,2021-11-02,"https://digital.ihg.com/is/image/ihg/avid-hotels-macon-6806046516-2x1?wid=1024&hei=512&qlt=85,0&resMode=sharp2&op_usm=1.75,0.9,2,0",0,2021-11-01,32.901814,-83.682846,NULL
Crowne Plaza Atlanta NE  Norcross,www.ihg.com,https://www.ihg.com/crowneplaza/hotels/us/en/norcross/atlpt/hoteldetail,6050 Peachtree Industrial Blvd,Norcross,GA,USA,30071,"https://www.google.com/maps/place/Crowne+Plaza+Atlanta+NE+-+Norcross/@33.9494817,-84.229485,15z/data=!4m2!3m1!1s0x0:0xeb35824714970364?sa=X&ved=2ahUKEwjZodKr9oH0AhVVnWoFHahHC60Q_BJ6BAhTEAU",,IHG,BUSINESS,2021-09-15,"https://digital.ihg.com/is/image/ihg/crowne-plaza-norcross-6744856502-2x1?wid=2880&hei=1440&qlt=85,0&resMode=sharp2&op_usm=1.75,0.9,2,0",0,2021-11-01,33.949482,-84.229485,NULL
Hotel Indigo Spring-Woodlands Area,www.ihg.com,https://www.ihg.com/hotelindigo/hotels/us/en/spring/hougo/hoteldetail,650 Basilica Bay Dr,Spring,TX,USA,77386,https://www.ihg.com/hotelindigo/hotels/us/en/spring/hougo/hoteldetail,,IHG,CHAIN,2021-10-01,https://digital.ihg.com/is/image/ihg/hotel-indigo-spring-6937583042-1x1,0,2021-11-01,30.11965,-95.433113,NULL
